,cast,revenue
0,Chris Pratt,2780232701
1,Bryce Dallas Howard,2410911791
2,Irrfan Khan,2161613082
3,Vincent D'Onofrio,2556915431
4,Nick Robinson,1513559210
5,Tom Hardy,2989991859
6,Charlize Theron,2708213805
7,Hugh Keays-Byrne,478436354
8,Nicholas Hoult,836795982
9,Josh Helman,378436354
10,Shailene Woodley,1073235157
11,Theo James,716386096
12,Kate Winslet,3400589281
13,Ansel Elgort,600389466
14,Miles Teller,910488090
15,Harrison Ford,8922840695
16,Mark Hamill,3967499843
17,Carrie Fisher,4128146159
18,Adam Driver,2133864019
19,Daisy Ridley,2068178225
20,Vin Diesel,5243376167
21,Paul Walker,4166422198
22,Jason Statham,3614589113
23,Michelle Rodriguez,5420615794
24,Dwayne Johnson,5792381240
25,Leonardo DiCaprio,6392775089
26,Will Poulter,809814871
27,Domhnall Gleeson,892959815
28,Paul Anderson,534576350
29,Arnold Schwarzenegger,4715098271
30,Jason Clarke,1485171837
31,Emilia Clarke,441127048
32,Jai Courtney,831932334
33,J.K. Simmons,926656295
34,Matt Damon,5139859351
35,Jessica Chastain,1872518947
36,Kristen Wiig,2820722396
37,Jeff Daniels,2108595515
38,Michael PeÃ±a,1583961409
39,Sandra Bullock,5897530449
40,Jon Hamm,1371889080
41,Michael Keaton,3869415519
42,Allison Janney,1839499719
43,Steve Coogan,1414819223
44,Amy Poehler,1261771687
45,Phyllis Smith,1069906101
46,Richard Kind,885138943
47,Bill Hader,1815767407
48,Lewis Black,894946257
49,Daniel Craig,4858736079
50,Christoph Waltz,2024404661
51,LÃ©a Seydoux,1200408660
52,Ralph Fiennes,7135927496
53,Monica Bellucci,1820571432
54,Mila Kunis,2065653278
55,Channing Tatum,2188232427
56,Sean Bean,2342505868
57,Eddie Redmayne,405021200
58,Douglas Booth,187296399
59,Alicia Vikander,370368660
60,Oscar Isaac,445653157
61,Sonoya Mizuno,36869414
62,Corey Johnson,85627295
63,Adam Sandler,4539222213
64,Michelle Monaghan,1087274944
65,Peter Dinklage,302520776
66,Josh Gad,1687416161
67,Kevin James,2543088118
68,Robert Downey Jr.,7419289468
69,Chris Hemsworth,4685471183
70,Mark Ruffalo,4334034457
71,Chris Evans,5142594533
72,Scarlett Johansson,6009809485
73,Samuel L. Jackson,7057828247
74,Kurt Russell,1690227598
75,Jennifer Jason Leigh,612184778
76,Walton Goggins,358790527
77,DemiÃ¡n Bichir,316717060
78,Liam Neeson,5530014915
79,Forest Whitaker,1808916851
80,Maggie Grace,1030278876
81,Famke Janssen,2328980418
82,Dougray Scott,1080793917
83,Paul Rudd,2250838547
84,Michael Douglas,3186664483
85,Evangeline Lilly,817870671
86,Corey Stoll,853227556
87,Bobby Cannavale,1062422900
88,Lily James,578958096
89,Cate Blanchett,4675998944
90,Richard Madden,542351353
91,Helena Bonham Carter,4986123028
92,Holliday Grainger,544756050
93,Jennifer Lawrence,3862243554
94,Josh Hutcherson,4121386648
95,Liam Hemsworth,2977022160
96,Woody Harrelson,4405645452
97,Elizabeth Banks,3412600688
98,Britt Robertson,323213055
99,George Clooney,4351529856
100,Raffey Cassidy,209035668
101,Thomas Robinson,209035668
102,Hugh Laurie,1487750537
103,Jake Gyllenhaal,2104710825
104,Rachel McAdams,2164986351
105,Oona Laurence,91709827
106,50 Cent,338878201
107,Alexandra Daddario,918808737
108,Carla Gugino,2372609594
109,Ioan Gruffudd,1622490445
110,Archie Panjabi,517619703
111,Dakota Johnson,671363669
112,Jamie Dornan,569651467
113,Jennifer Ehle,632484717
114,Eloise Mumford,569651467
115,Victor Rasuk,583063424
116,Christian Bale,4216032670
117,Steve Carell,3715419254
118,Ryan Gosling,823459474
119,Brad Pitt,6573469035
120,Melissa Leo,277847038
121,Tom Cruise,8812436186
122,Jeremy Renner,2398351000
123,Simon Pegg,3787857043
124,Rebecca Ferguson,682330139
125,Ving Rhames,3019187392
126,Mark Wahlberg,4103990449
127,Seth MacFarlane,765231921
128,Amanda Seyfried,2131516278
129,Jessica Barth,215863606
130,Giovanni Ribisi,1672510649
131,Taron Egerton,448597380
132,Colin Firth,2272434653
133,Michael Caine,5356986210
134,Mark Strong,2205127766
135,Liev Schreiber,1110050306
136,John Slattery,309801117
137,Dylan O'Brien,659576787
138,Kaya Scodelario,659677702
139,Thomas Brodie-Sangster,433746748
140,Giancarlo Esposito,454652830
141,Aidan Gillen,431310302
142,Ian McKellen,8115046043
143,Milo Parker,29355203
144,Laura Linney,979824103
145,Hattie Morahan,29355203
146,Patrick Kennedy,29355203
147,Sharlto Copley,1553873565
148,Dev Patel,1032772614
149,Ninja,105848888
150,Yolandi Visser,102069268
151,Jose Pablo Cantillo,145000309
152,Anna Kendrick,1103950739
153,Rebel Wilson,781288314
154,Hailee Steinfeld,729953883
155,Brittany Snow,571669405
156,Skylar Astin,450922292
157,Tom Hanks,8418142612
158,Mark Rylance,173275222
159,Amy Ryan,531891817
160,Alan Alda,443400749
161,Sebastian Koch,467264655
162,Jack Black,3973601543
163,Dylan Minnette,250824964
164,Odeya Rush,217151271
165,Jillian Bell,202566811
166,Brie Larson,425408620
167,Jacob Tremblay,35401758
168,Joan Allen,481631788
169,Sean Bridgers,35401758
170,William H. Macy,1657564525
171,Abbie Cornish,733529095
172,Jeffrey Dean Morgan,385700749
173,Colin Farrell,2284695766
174,Anthony Hopkins,3572159515
175,Marley Shelton,72745279
176,Raymond Ochoa,331926147
177,Jack Bright,331926147
178,Jeffrey Wright,1219307687
179,Frances McDormand,3011807798
180,Maleah Nipay-Padilla,331926147
181,Ed Harris,3518054903
182,Joel Kinnaman,587220991
183,Boyd Holbrook,130027553
184,Bruce McGill,929789941
185,Saoirse Ronan,439560839
186,Emory Cohen,97561749
187,Emily Bett Rickards,62076141
188,Eileen O'Higgins,62076141
189,O'Shea Jackson Jr.,201634991
190,Corey Hawkins,201634991
191,Jason Mitchell,201634991
192,Neil Brown Jr.,201634991
193,Aldis Hodge,201634991
194,Rose Leslie,140405968
195,Elijah Wood,3742683194
196,Ã“lafur Darri Ã“lafsson,140396650
197,Michael Fassbender,2258898308
198,Seth Rogen,2435424495
199,Katherine Waterston,45597700
200,Henry Cavill,1042758227
201,Armie Hammer,710979886
202,Elizabeth Debicki,459185528
203,Luca Calvani,108145109
204,Blake Lively,585417571
205,Michiel Huisman,95363054
206,Ellen Burstyn,652458623
207,Kathy Baker,189101134
208,Haley Bennett,353100907
209,Danila Kozlovskiy,14333790
210,Tim Roth,686766358
211,Andrei Dementiev,14333790
212,Jim Parsons,376319392
213,Rihanna,671896492
214,Steve Martin,1903795035
215,Jennifer Lopez,1819946783
216,Matt Jones,368871007
217,Nat Wolff,390663565
218,Cara Delevingne,85512300
219,Halston Sage,85512300
220,Justice Smith,85512300
221,Austin Abrams,85512300
222,Michael Angarano,246243737
223,Milo Ventimiglia,175092666
224,Dominik GarcÃ­a-Lorido,11056948
225,Anne Heche,406349540
226,Rachel Weisz,2675407009
227,John C. Reilly,1487998329
228,Ben Whishaw,596112229
229,Rooney Mara,513033136
230,Kyle Chandler,692368816
231,Sarah Paulson,65519566
232,Jake Lacy,43396098
233,Robert De Niro,5126405727
234,Anne Hathaway,5739883789
235,Rene Russo,1971612043
236,Anders Holm,194564672
237,JoJo Kushner,194564672
238,Josh Brolin,2367046344
239,John Hawkes,361874811
240,Sam Worthington,4007967823
241,Bradley Cooper,3749069168
242,Dascha Polanco,101134059
243,Edgar RamÃ­rez,559668551
244,Luke Bracey,202201043
245,Teresa Palmer,632450487
246,Delroy Lindo,1837490866
247,Ray Winstone,1217643670
248,Sienna Miller,1081162406
249,Uma Thurman,1281606677
250,Ryan Reynolds,2682030527
251,Ben Kingsley,3233058060
252,Natalie Martinez,152412126
253,Matthew Goode,327105999
254,Michelle Dockery,253332826
255,Johnny Depp,7979521265
256,Gwyneth Paltrow,3994929144
257,Ewan McGregor,4563038621
258,Paul Bettany,2188028881
259,Olivia Munn,228191626
260,Matthias Schoenaerts,124163191
261,Amber Heard,358712536
262,Leehom Wang,17752940
263,Tang Wei,17752940
264,Viola Davis,703138999
265,Holt McCallany,17752940
266,Emily Blunt,1711111278
267,Benicio del Toro,587908408
268,Victor Garber,465624623
269,Jon Bernthal,444876254
270,Kate Mara,411562377
271,Michael B. Jordan,534570804
272,Jamie Bell,1031562166
273,Toby Kebbell,1081903000
274,Anya Taylor-Joy,40423945
275,Ralph Ineson,40423945
276,Kate Dickie,41552290
277,Harvey Scrimshaw,40423945
278,Ellie Grainger,40423945
279,Melissa McCarthy,723668075
280,Rose Byrne,1838108918
281,Miranda Hart,235666219
282,Will Smith,6700543119
283,Margot Robbie,633182589
284,Rodrigo Santoro,195922966
285,Robert Taylor,153962963
286,Gerald McRaney,210047984
287,Rupert Friend,112202840
288,Zachary Quinto,954897387
289,Hannah Ware,82347656
290,Emilio Rivera,163620422
291,Rolf Kanies,82347656
292,Benjamin Walker,206085897
293,Cillian Murphy,513197210
